customer_id,segment_name,recency_days,frequency_180d,monetary_180d,ticket_count_90d,return_rate_180d,sessions_30d,campaign_clicks_30d
CUST00001,Dormant,107,1,362.73,0,0.0,1,0
CUST00002,Dormant,40,1,581.0,1,0.0,8,0
CUST00003,Discount Sensitive,171,1,649.98,0,0.0,1,0
CUST00004,At Risk,131,1,1604.04,0,0.0,1,0
CUST00005,Champion,38,3,1781.9,0,0.0,18,1
CUST00006,High Value Unhappy,51,4,2989.58,2,0.25,2,0
CUST00007,Dormant,3,1,719.33,0,0.0,11,3
CUST00008,Loyal Customer,47,3,2449.11,0,0.0,2,0
CUST00009,Discount Sensitive,31,1,376.85,0,0.0,11,0
CUST00010,Discount Sensitive,9,1,636.8,0,0.0,13,0
CUST00011,Dormant,1,1,508.08,0,0.0,10,0
CUST00012,Dormant,50,1,978.88,0,0.0,3,0
CUST00013,Loyal Customer,61,3,1754.44,0,0.0,4,0
CUST00014,Loyal Customer,51,2,1382.39,0,0.0,11,0
CUST00015,Loyal Customer,35,2,1523.14,0,0.0,6,0
CUST00016,At Risk,215,0,0.0,0,0.0,2,1
CUST00017,At Risk,286,0,0.0,0,0.0,4,4
CUST00018,Discount Sensitive,111,1,329.21,0,0.0,3,2
CUST00019,Loyal Customer,9,2,1598.93,0,0.0,5,1
CUST00020,At Risk,368,0,0.0,0,0.0,0,0
CUST00021,Discount Sensitive,77,2,1059.3,1,0.0,3,0
CUST00022,Dormant,29,1,454.06,0,0.0,10,1
CUST00023,Dormant,21,1,400.98,0,0.0,3,1
CUST00024,Discount Sensitive,4,1,481.35,0,0.0,13,0
CUST00025,Discount Sensitive,165,1,517.97,0,0.0,11,1
CUST00026,Champion,72,3,3561.39,1,0.333,14,0
CUST00027,High Value Unhappy,70,1,2128.34,1,1.0,11,2
CUST00028,Dormant,83,1,641.83,0,0.0,1,0
CUST00029,Loyal Customer,18,3,1382.04,0,0.0,1,0
CUST00030,Champion,5,5,2819.98,2,0.0,11,0
CUST00031,Dormant,49,1,672.95,0,0.0,6,0
CUST00032,Dormant,33,1,694.18,0,0.0,12,0
CUST00033,Champion,12,3,1877.69,1,0.333,7,0
CUST00034,Loyal Customer,50,2,1460.21,1,0.0,7,2
CUST00035,Dormant,127,1,779.74,0,0.0,6,0
CUST00036,High Value Unhappy,27,4,1737.33,1,0.25,0,0
CUST00037,Discount Sensitive,102,1,435.83,0,0.0,5,0
CUST00038,Champion,51,3,1955.61,1,0.0,5,0
CUST00039,Loyal Customer,15,2,1173.55,0,0.0,6,1
CUST00040,Discount Sensitive,154,1,634.73,0,0.0,1,0
CUST00041,Discount Sensitive,54,1,366.99,0,0.0,5,2
CUST00042,High Value Unhappy,87,5,4306.0,2,0.0,3,2
CUST00043,Discount Sensitive,24,1,363.01,0,0.0,3,0
CUST00044,Dormant,72,1,899.51,0,0.0,6,2
CUST00045,Dormant,96,1,413.75,0,0.0,6,1
CUST00046,Dormant,127,1,489.87,0,0.0,7,0
CUST00047,At Risk,204,0,0.0,0,0.0,2,1
CUST00048,Champion,61,4,2450.45,0,0.25,12,0
CUST00049,Discount Sensitive,8,1,380.83,0,0.0,4,1
CUST00050,Loyal Customer,0,2,2026.54,0,0.5,3,1
CUST00051,At Risk,210,0,0.0,0,0.0,6,2
CUST00052,Loyal Customer,55,2,1820.53,0,0.0,7,0
CUST00053,Champion,25,3,2063.87,1,0.0,9,1
CUST00054,Dormant,6,1,489.85,0,0.0,3,0
CUST00055,Champion,3,3,1308.35,0,0.0,6,2
CUST00056,High Value Unhappy,9,3,3150.69,1,0.0,3,0
CUST00057,At Risk,136,1,1713.34,0,0.0,7,1
CUST00058,Dormant,42,1,644.61,0,0.0,2,4
CUST00059,Loyal Customer,2,2,1447.55,0,0.0,3,0
CUST00060,Discount Sensitive,145,1,293.22,0,0.0,5,0
CUST00061,Loyal Customer,14,3,1632.4,1,0.0,4,1
CUST00062,Champion,21,3,2295.98,0,0.0,9,1
CUST00063,At Risk,216,0,0.0,0,0.0,0,0
CUST00064,Discount Sensitive,2,1,654.93,0,0.0,8,0
CUST00065,Loyal Customer,6,1,1911.67,0,0.0,3,2
CUST00066,At Risk,320,0,0.0,0,0.0,11,1
CUST00067,Loyal Customer,63,2,1246.44,1,0.5,1,2
CUST00068,At Risk,346,0,0.0,0,0.0,5,1
CUST00069,Loyal Customer,29,2,874.47,0,0.0,9,1
CUST00070,Discount Sensitive,38,1,542.98,0,0.0,1,0
CUST00071,High Value Unhappy,32,1,2062.5,1,0.0,1,2
CUST00072,Dormant,90,2,1697.84,0,0.0,7,1
CUST00073,Loyal Customer,8,2,1150.72,0,0.0,7,1
CUST00074,Dormant,7,1,824.34,1,1.0,14,1
CUST00075,Champion,3,3,1287.45,0,0.0,10,0
CUST00076,Loyal Customer,20,2,1385.27,0,0.0,17,0
CUST00077,Discount Sensitive,109,1,394.32,0,0.0,0,0
CUST00078,Discount Sensitive,139,1,894.45,0,1.0,5,0
CUST00079,At Risk,191,0,0.0,0,0.0,2,0
CUST00080,Dormant,50,1,1461.68,0,0.0,11,0
CUST00081,Champion,19,5,3417.32,0,0.0,12,0
CUST00082,At Risk,254,0,0.0,0,0.0,7,3
CUST00083,Dormant,89,2,806.87,1,0.5,9,0
CUST00084,At Risk,167,1,1273.18,0,0.0,11,1
CUST00085,Loyal Customer,14,1,1257.8,0,0.0,8,0
CUST00086,Champion,21,4,1741.15,1,0.0,7,2
CUST00087,Discount Sensitive,44,1,933.58,0,0.0,1,0
CUST00088,Discount Sensitive,98,2,1169.14,0,0.0,9,0
CUST00089,Discount Sensitive,165,1,1513.5,0,0.0,12,3
CUST00090,Champion,80,4,1966.31,0,0.0,5,0
CUST00091,Discount Sensitive,90,1,311.34,0,0.0,9,0
CUST00092,Dormant,21,1,430.85,0,0.0,1,0
CUST00093,Dormant,85,1,759.64,0,0.0,16,4
CUST00094,At Risk,183,0,0.0,0,0.0,6,1
CUST00095,Discount Sensitive,65,1,372.65,1,0.0,10,1
CUST00096,Loyal Customer,61,2,1414.75,0,0.5,12,0
CUST00097,Loyal Customer,1,3,2946.09,0,0.0,0,0
CUST00098,At Risk,184,0,0.0,0,0.0,8,0
CUST00099,At Risk,144,2,1471.51,0,0.0,4,2
CUST00100,Dormant,70,1,372.37,0,0.0,1,0
CUST00101,Dormant,108,2,1240.21,0,0.0,2,0
CUST00102,Dormant,83,1,732.65,0,0.0,2,0
CUST00103,Dormant,21,1,1469.96,0,0.0,6,1
CUST00104,Dormant,93,1,955.63,0,0.0,3,0
CUST00105,Loyal Customer,46,1,2052.43,0,0.0,1,0
CUST00106,Dormant,61,1,436.15,0,0.0,5,0
CUST00107,Loyal Customer,12,2,1658.13,0,0.0,2,0
CUST00108,Dormant,44,1,1074.5,1,1.0,5,0
CUST00109,Dormant,92,2,1622.28,0,0.0,1,1
CUST00110,High Value Unhappy,35,3,2424.8,2,0.0,4,0
CUST00111,At Risk,178,1,1135.09,0,0.0,3,0
CUST00112,Loyal Customer,0,4,2225.98,0,0.0,4,0
CUST00113,Loyal Customer,28,2,1601.31,0,0.0,17,0
CUST00114,At Risk,239,0,0.0,0,0.0,3,1
CUST00115,At Risk,159,1,596.54,0,0.0,12,2
CUST00116,At Risk,143,1,452.08,0,0.0,10,2
CUST00117,Dormant,123,2,1268.88,0,0.0,2,0
CUST00118,Dormant,27,1,689.56,0,0.0,2,0
CUST00119,High Value Unhappy,69,1,2019.98,1,0.0,12,0
CUST00120,Dormant,26,1,261.95,0,0.0,6,0
CUST00121,Loyal Customer,27,2,2496.03,0,0.0,5,1
CUST00122,Loyal Customer,106,2,2048.93,0,0.0,10,4
CUST00123,Loyal Customer,102,4,2117.52,0,0.0,2,0
CUST00124,At Risk,194,0,0.0,0,0.0,5,0
CUST00125,Loyal Customer,8,2,1698.4,0,0.0,0,1
CUST00126,Discount Sensitive,57,1,919.95,0,0.0,5,0
CUST00127,Loyal Customer,24,2,729.55,0,0.0,3,0
CUST00128,Loyal Customer,19,2,1716.68,0,0.0,15,0
CUST00129,Champion,83,3,3369.08,1,0.333,7,0
CUST00130,Discount Sensitive,88,1,1272.47,0,0.0,9,0
CUST00131,Dormant,67,1,2157.15,0,0.0,4,0
CUST00132,Dormant,117,1,1621.76,0,0.0,1,0
CUST00133,Champion,54,6,4776.26,0,0.0,5,1
CUST00134,Loyal Customer,35,2,1527.11,0,0.5,11,0
CUST00135,At Risk,333,0,0.0,0,0.0,3,1
CUST00136,Dormant,71,1,514.9,0,0.0,7,0
CUST00137,At Risk,177,2,1035.87,0,0.0,4,0
CUST00138,Discount Sensitive,61,1,905.11,0,0.0,5,1
CUST00139,High Value Unhappy,28,2,1715.4,2,0.0,5,0
CUST00140,Champion,6,3,3416.05,1,0.0,14,0
CUST00141,Dormant,28,1,647.85,0,0.0,4,1
CUST00142,Discount Sensitive,169,1,369.26,0,0.0,2,0
CUST00143,Champion,32,3,4028.8,0,0.0,5,1
CUST00144,Dormant,86,2,928.58,1,0.0,8,2
CUST00145,Dormant,30,1,502.35,0,0.0,0,0
CUST00146,Dormant,108,1,986.21,0,0.0,4,1
CUST00147,Loyal Customer,84,3,2809.32,0,0.0,1,0
CUST00148,Champion,4,3,1990.51,0,0.0,5,1
CUST00149,Dormant,8,1,787.94,0,0.0,8,0
